,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
36,SKELETONS,Travis Scott,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,0.739,0.419,-8.241,0.0854,0.219,0.0,0.196,0.58,60.493,1
37,CYANIDE,Daniel Caesar,spotify:track:3uouaAVXpQR3X8RYkJyitQ,0.743,0.344,-11.174,0.118,0.169,0.00879,0.103,0.577,160.15,2
38,Super Rich Kids,Frank Ocean,spotify:track:0725YWm6Z0TpZ6wrNk64Eb,0.662,0.297,-14.525,0.0301,0.888,0.108,0.119,0.434,94.023,2
39,Redbone,Childish Gambino,spotify:track:0wXuerDYiBnERgIpbb3JBR,0.724,0.538,-8.041,0.0381,0.0408,0.0139,0.0343,0.282,108.945,1
40,Warm (feat. Mia),Dre'es,spotify:track:3kBofOTKMUZ62a311eUwvx,0.48,0.61,-7.042,0.305,0.0456,0.0,0.313,0.297,90.034,6
41,Daffodils (feat. Kevin Parker),Mark Ronson,spotify:track:1v0ufp7FLTFcykUGOmFZKa,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,3
42,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,0.55,0.596,-8.214,0.134,0.162,0.00481,0.0805,0.253,165.736,0
43,The Less I Know The Better,Tame Impala,spotify:track:6K4t31amVTZDgR3sKmwUJJ,0.505,0.267,-13.763,0.05,0.279,0.0,0.096,0.439,143.929,2
44,Feels Like Summer,Childish Gambino,spotify:track:7p4vHnYXkxlzvfePJVpcTr,0.669,0.735,-7.264,0.329,0.459,0.0,0.103,0.723,117.284,6
45,Dead Man Walking,Brent Faiyaz,spotify:track:5VlTQnZO89Ioku8ssdbqJk,0.652,0.549,-7.555,0.039,0.317,0.0,0.104,0.186,120.073,1
46,Suede,NxWorries,spotify:track:4F07ku5lMBIoybFPStM2j4,0.488,0.443,-10.478,0.039,0.155,0.00653,0.215,0.299,63.273,1
47,The Morning,The Weeknd,spotify:track:6u0dQik0aif7FQlrhycG1L,0.641,0.41,-8.343,0.0449,0.0995,0.00386,0.123,0.0388,81.967,1
48,Conversion,Khruangbin,spotify:track:2jgDHgA35REbGKBtSnQotx,0.416,0.52,-12.628,0.476,0.187,1.76e-06,0.594,0.486,78.794,6
49,NEVER AGAIN,PARTYNEXTDOOR,spotify:track:1Ew6LX4ib9JhHvF0hJNO2l,0.562,0.579,-6.788,0.484,0.274,0.0,0.102,0.577,84.143,6
50,Dressed Like Rappers,Isaiah Rashad,spotify:track:5oO0BgiNJzi3Q13uIvizqN,0.741,0.397,-9.34,0.035,0.568,0.0,0.153,0.418,85.049,2
51,infinity (888) - feat. Joey Bada$$,XXXTENTACION,spotify:track:7J2gyNghNTzl4EsLhXp01Q,0.367,0.613,-5.646,0.0297,0.0508,0.00171,0.282,0.0966,153.978,0
52,Whipped Cream,Ari Lennox,spotify:track:56IszkEOG5lFShWevvEH3R,0.666,0.535,-9.033,0.112,0.827,0.0228,0.202,0.259,127.029,2
53,Posthumous Forgiveness,Tame Impala,spotify:track:1KcOU0q9AMXV9xi4tSzzCc,0.416,0.455,-9.911,0.0923,0.464,2.05e-05,0.619,0.408,81.735,4
54,Take Care of You (feat. Syd),Charlotte Day Wilson,spotify:track:2ENxOXbxhfJ3lfItO0MFDv,0.746,0.798,-8.382,0.349,0.137,0.0,0.139,0.553,109.968,6
55,This Ain't Love,Giveon,spotify:track:5Y7dUgG3vyx3541JagbWvv,0.513,0.327,-8.798,0.0346,0.063,0.000253,0.117,0.146,78.412,1
56,FEEL.,Kendrick Lamar,spotify:track:2LTlO3NuNVN70lp2ZbVswF,0.596,0.678,-5.18,0.0335,0.0199,0.004,0.418,0.259,117.066,1
57,Love Again (feat. JMSN & Sango),Ta-ku,spotify:track:4AyOZxYrNYz1YAEr8ObEH2,0.533,0.251,-11.283,0.0372,0.873,0.104,0.134,0.186,77.503,2
58,Break from Toronto,PARTYNEXTDOOR,spotify:track:79MSEdtXuudhGhC5AtG07g,0.543,0.497,-12.126,0.0937,0.061,0.000131,0.307,0.113,81.996,1
59,Retrograde,James Blake,spotify:track:2IqjKEBiz0CdLKdkXhxw84,0.605,0.553,-10.845,0.101,0.274,0.0152,0.184,0.62,152.076,3
60,Sirens,Sonder,spotify:track:7mWtOqfkOCbaldtK6TEoVd,0.42,0.224,-6.994,0.0384,0.963,0.0,0.109,0.114,97.749,2
61,Belong to You (feat. 6LACK),Sabrina Claudio,spotify:track:2I88NEWpKrAPZuapXNV5G6,0.707,0.238,-8.818,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,2
62,Time,Snoh Aalegra,spotify:track:2mYE3xqnyusAvcaFCv05BX,0.594,0.762,-7.951,0.0899,0.426,0.0,0.085,0.588,139.932,3
63,Japanese Denim,Daniel Caesar,spotify:track:1boXOL0ua7N2iCOUVI1p9F,0.759,0.342,-9.044,0.0406,0.775,0.0,0.112,0.22,99.995,2
64,Rose Golden,Kid Cudi,spotify:track:40jxatV29fk82SAziDsPqN,0.601,0.583,-5.725,0.263,0.144,9.73e-05,0.183,0.32,148.785,6
65,Childs Play (feat. Chance the Rapper),SZA,spotify:track:7GPstnufSTScEaw9dMxO9H,0.62,0.721,-5.538,0.0887,0.0422,0.0075,0.563,0.77,169.904,4
66,I Am,Kendrick Lamar,spotify:track:0DJBgBiYeSn6n1AXAkFVE8,0.769,0.465,-7.765,0.0634,0.197,0.0181,0.155,0.185,98.011,1
67,Language,Paperboy Fabe,spotify:track:4RnvS1tmh1ERhjXX6dxv95,0.786,0.423,-9.637,0.032,0.664,0.442,0.105,0.245,104.994,2
68,Wait,NoMBe,spotify:track:0lUO60zSnd20AlKB5Wg0qS,0.689,0.394,-10.102,0.065,0.711,0.000905,0.0859,0.382,117.489,2
