,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
3306,If I Lose Myself,OneRepublic,spotify:track:7BVZ62e8J6KIFlAOPFct2C,0.638,0.831,-3.944,0.182,0.0281,3.06e-06,0.277,0.685,175.038,0
3307,Fireflies,Owl City,spotify:track:3DamFFqW32WihKkTVlwTYQ,0.758,0.537,-7.098,0.131,0.218,0.0,0.0932,0.856,168.067,3
3308,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,4
3309,Replay,Iyaz,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,0.582,0.529,-7.637,0.0248,0.00961,0.000554,0.113,0.567,166.134,3
3310,Handlebars,Flobots,spotify:track:6JH9yWhgbm0y9iAJhCslNc,0.616,0.744,-4.682,0.0283,0.00223,0.0,0.158,0.74,118.995,3
3311,L.A. Story (feat. Mike Posner),Sammy Adams,spotify:track:3NxAxBnK66q0ZpIWeH9xlp,0.765,0.765,-2.732,0.0585,0.00765,3.82e-06,0.0527,0.886,120.001,3
3312,Sail,AWOLNATION,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,0.644,0.88,-5.285,0.0378,0.0199,8.17e-06,0.0584,0.846,127.99,3
3313,Price Tag,Jessie J,spotify:track:5mvKuE9Lf9ARVXVXA32kK9,0.677,0.871,-5.654,0.21,0.00988,0.0,0.06,0.907,127.976,3
3314,A Whole World Made for Me,Tryhardninja,spotify:track:44q46vhjYqehk8ZIwF7E2Q,0.514,0.873,-4.939,0.0528,0.0124,0.0,0.112,0.459,124.018,1
3315,Radioactive,Imagine Dragons,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.487,0.609,-9.062,0.0714,0.298,2.73e-06,0.1,0.931,174.995,3
3316,Vanilla Twilight,Owl City,spotify:track:0vCTQcxSGAgjHaiAsIANKn,0.697,0.474,-6.663,0.0351,0.603,0.0,0.11,0.249,127.904,2
3317,Hello Seattle,Owl City,spotify:track:6kIpxmFQ35wgI3cK77LKbx,0.637,0.843,-5.413,0.0432,0.0151,0.0,0.0876,0.434,109.012,1
3318,Brokenhearted,Karmin,spotify:track:4urcG6Nfubqsuqy3juMjBi,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,1
3319,Metropolis,Owl City,spotify:track:1SwG77Y74JfKoCNAtKyWsf,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,3
3320,Speed Of Love,Owl City,spotify:track:4URyMVt4ZpmDQWd7D8rZ7k,0.637,0.985,-3.809,0.184,0.00988,0.00857,0.0649,0.374,145.111,0
3321,Shooting Star,Owl City,spotify:track:7k5EcszNwUturoU20TTy1G,0.676,0.695,-8.327,0.245,0.352,0.0,0.119,0.144,90.268,6
3322,To The Sky,Various Artists,spotify:track:4mnrQXj7aqnW7g3ZLqF1Ah,0.739,0.818,-5.062,0.0418,0.008,0.00504,0.164,0.713,119.982,3
3323,Bubbly,Colbie Caillat,spotify:track:0rFOs9paloAvEtzwDX1Kmc,0.668,0.857,-2.944,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,3
3324,Just The Way You Are,Bruno Mars,spotify:track:24lMtPOCzP5g4hrg3NklLa,0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,2
3325,Grenade,Bruno Mars,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,0.645,0.741,-5.42,0.0489,0.288,4.04e-05,0.115,0.414,139.914,1
3326,The Lazy Song,Bruno Mars,spotify:track:1ExfPZEiahqhLyajhybFeS,0.707,0.861,-4.225,0.316,0.1,0.0,0.191,0.795,130.021,6
3327,Cinema - Skrillex Remix,Benny Benassi,spotify:track:39tf7BmdD6n18iWYkgRHIP,0.751,0.736,-4.168,0.156,0.0206,0.0,0.265,0.352,130.014,1
3328,Lighters,Bad Meets Evil,spotify:track:5zpDHEU12zATwLGvozxPw2,0.695,0.869,-5.066,0.0483,0.41,0.0,0.237,0.58,124.989,3
3329,We R Who We R,Kesha,spotify:track:5jaz6aiRknA63NIYWdbr2O,0.344,0.509,-6.607,0.0722,0.24,0.0,0.083,0.529,76.004,1
3330,You Make Me Feel... (feat. Sabi),Cobra Starship,spotify:track:5FeuH4LtGxDWkSkhRG47QT,0.649,0.807,-4.834,0.0301,0.000178,0.0074,0.0599,0.816,117.964,3
3331,A Thousand Years,Christina Perri,spotify:track:6lanRgr6wXibZr8KgzXxBl,0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,1
3332,Monster (DotEXE Remix),Meg & Dia,spotify:track:5KmhARDh8FEU3Lj2UKYwqU,0.674,0.882,-2.771,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,3
3333,Sexy And I Know It,LMFAO,spotify:track:0obBFrPYkSoBJbvHfUIhkv,0.581,0.842,-4.295,0.0903,0.21,0.0,0.106,0.223,102.892,1
3334,Party Rock Anthem,LMFAO,spotify:track:7FwaX3u4lo5wqF2mdHQlsC,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,2
3335,I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE,0.633,0.797,-5.812,0.0347,0.00966,1.35e-06,0.51,0.59,96.039,4
3336,Mirrors,Justin Timberlake,spotify:track:03gqZZavMKhWbSjdQvpF6O,0.787,0.655,-8.339,0.0431,0.238,0.000171,0.138,0.65,102.485,3
3337,Safe And Sound,Capital Cities,spotify:track:1fzJyTCKeZuTSLByCsLRHl,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3
3338,Don't You Worry Child - Radio Edit,Swedish House Mafia,spotify:track:2V65y3PX4DkRhy1djlxd9p,0.529,0.948,-3.527,0.0474,0.258,9.35e-06,0.283,0.65,146.024,0
3339,Bulletproof,La Roux,spotify:track:6lUY6MoqGgPnA27PHYxem5,0.608,0.954,-3.507,0.0499,0.0006,0.269,0.358,0.723,131.991,3
3340,Crickets,Drop City Yacht Club,spotify:track:4dNH0javipCBw9oog57C5K,0.733,0.634,-6.213,0.0998,0.00219,0.00129,0.947,0.22,127.989,4
3341,I'm Yours,Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,0.516,0.806,-5.133,0.0538,0.00389,0.000674,0.115,0.577,124.118,1
3342,Brighter Than The Sun,Colbie Caillat,spotify:track:6Ese4lZeXdyfQfaLuQH58A,0.688,0.473,-9.059,0.167,0.716,4.46e-05,0.104,0.299,84.958,2
3343,Upside Down,Jack Johnson,spotify:track:6shRGWCtBUOPFLFTTqXZIC,0.601,0.834,-6.573,0.0358,0.0295,0.888,0.34,0.352,125.991,5
3344,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.565,0.867,-2.503,0.0318,0.0571,0.0,0.177,0.325,125.867,1
3345,All The Right Moves,OneRepublic,spotify:track:5XRHGXut00SrJUFmcn2lQF,0.49,0.473,-8.303,0.0281,0.629,6.52e-05,0.167,0.445,147.907,2
3346,Planetary (GO!),My Chemical Romance,spotify:track:3iitOoZUtWEgwZOEYFITFo,0.654,0.734,-6.216,0.112,0.00314,0.000249,0.0802,0.241,126.995,1
3347,Sky City 2013 (feat. Gjermund Olstad),K-391,spotify:track:0ruHilJyyecxNW0wqZDIcN,0.689,0.487,-4.869,0.0613,0.0309,0.0,0.0747,0.492,128.122,3
3348,Wake Me Up,Avicii,spotify:track:4QRZirU4s1f30iDHzuKncj,0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,1
3349,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,spotify:track:01uqI4H13Gsd8Lyl1EYd8H,0.676,0.534,-6.901,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,1
3350,Levels,Avicii,spotify:track:6dfXwa0dI1sBm4CIePuOYM,0.718,0.665,-8.918,0.0392,0.0594,0.00503,0.0459,0.648,126.059,3
3351,Angel,Akon,spotify:track:6LBcHFbzmKSgGjZapRE2B5,0.549,0.939,-1.211,0.0597,0.0599,0.0,0.092,0.61,139.961,0
3352,That Girl,David Choi,spotify:track:3KyWSDemmWlSowSP86OQaY,0.593,0.74,-6.12,0.0339,0.363,2.22e-05,0.102,0.502,118.008,1
3353,Save The World - Extended Mix,Swedish House Mafia,spotify:track:4xTIknzHtjrqRQ1hlL2T8W,0.666,0.78,-5.177,0.0404,0.044,0.0,0.128,0.795,90.004,3
3354,I Choose U,Timeflies,spotify:track:6NCnKQdnk3sSw2Sya1zlcT,0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338,1
3355,Demons,Imagine Dragons,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.668,0.718,-4.736,0.0605,0.0165,0.0,0.104,0.345,91.993,1
3356,Holy Grail,JAY-Z,spotify:track:37jTPJgwCCmIGMPB45jrPV,0.638,0.831,-6.812,0.081,0.0263,0.0,0.0491,0.388,127.975,1
3357,Take Back the Night,Tryhardninja,spotify:track:2DOAJh50Pa1UNoqGt7dTA9,0.526,0.819,-3.263,0.0385,0.00284,0.000311,0.0616,0.167,139.999,0
3358,One Minute,Krewella,spotify:track:2K54tYOF2c6CBO3ZNhKcmS,0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,3
3359,Apologize,OneRepublic,spotify:track:1NrJYpdAi7uosDRPmSYrsG,0.699,0.882,-3.896,0.0311,0.00296,0.0544,0.13,0.657,120.016,3
3360,Keep Your Head Up,Andy Grammer,spotify:track:7MapZTlRqFfUteNcghsTwf,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,0
3361,Ridin' Solo,Jason Derulo,spotify:track:7ksYJ95P5vP87A0GH34CIk,0.775,0.785,-3.503,0.0411,0.00247,0.0,0.0669,0.963,130.027,3
3362,It Girl,Jason Derulo,spotify:track:2giHiZTf7a3UKkYvENgavP,0.612,0.863,-2.124,0.0379,0.0671,0.0,0.11,0.618,87.031,3
3363,"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",Various Artists,spotify:track:5ZkAx8zjLiSs1nMmBwJoZS,0.516,0.987,-2.386,0.132,0.00195,2.56e-05,0.405,0.38,138.988,0
3364,Promises - Skrillex & Nero Remix,NERO,spotify:track:4tBm1UssZthEdY0JvJBVHe,0.572,0.902,-4.959,0.0399,0.00207,0.0,0.0968,0.712,91.985,3
3365,Whistle,Flo Rida,spotify:track:7uekUvUw4mmcX6b20zbfMq,0.765,0.837,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,3
3366,Please Don't Go,Mike Posner,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK,0.591,0.935,-2.664,0.0478,0.000284,0.000278,0.142,0.736,140.043,3
3367,Everybody Talks,Neon Trees,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,0.709,0.88,-2.927,0.0736,0.00689,0.00997,0.248,0.82,128.019,3
3368,Me Without You,TobyMac,spotify:track:60mEaZwMtYe7wdjmWTKkHW,0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,0
3369,Forgiveness,TobyMac,spotify:track:37FTnEUWr9kIW500sHCiKX,0.683,0.789,-6.132,0.0353,0.0283,0.0492,0.112,0.809,120.013,3
3370,Unstoppable,TobyMac,spotify:track:1dchvAlxeeoomzOnXClhQF,0.592,0.926,-3.469,0.126,0.0775,0.0,0.187,0.432,99.018,1
3371,Get Back Up,TobyMac,spotify:track:0x962K1qfbp51oYBj8iIHn,0.646,0.795,-3.293,0.0976,0.0319,0.0,0.267,0.796,89.99,3
3372,Drive By,Train,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,0.716,0.838,-4.289,0.0513,0.134,0.0,0.148,0.646,130.034,3
3373,50 Ways to Say Goodbye,Train,spotify:track:2NniAhAtkRACaMeYt48xlD,0.738,0.744,-4.757,0.042,0.0222,0.0,0.331,0.556,110.0,3
3374,Let's Go (feat. Ne-Yo),Calvin Harris,spotify:track:7yWQEfTdvmPyZtt6IbSGp7,0.66,0.89,-4.769,0.0389,0.0214,0.0,0.103,0.827,105.003,3
3375,We Are Young (feat. Janelle Monáe),fun.,spotify:track:7a86XRg84qjasly9f6bPSD,0.67,0.683,-5.509,0.0377,0.29,0.0,0.724,0.29,124.9,4
3376,Lights - Single Version,Ellie Goulding,spotify:track:7gUpO6td4OOnu0Lf9vhcIV,0.585,0.972,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,3
3377,The Fighter (feat. Ryan Tedder),Gym Class Heroes,spotify:track:77ZdAoTHYoF6Umo76HFD4m,0.66,0.867,-4.285,0.116,0.11,0.0,0.0368,0.377,93.033,1
3378,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,0.602,0.691,-5.197,0.051,0.0548,0.0,0.144,0.206,127.967,1
3379,Ass Back Home (feat. Neon Hitch),Gym Class Heroes,spotify:track:3bfqkspKABT4pPicm6wC9F,0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,1
3380,Payphone,Maroon 5,spotify:track:5IWmU2PNimgYuTLddU2DRo,0.482,0.833,-5.611,0.0449,0.000346,0.0,0.365,0.74,148.039,0
3381,It's Time,Imagine Dragons,spotify:track:40xtweuHBkLXNMO3xCK5AZ,0.657,0.695,-4.493,0.0321,0.0108,0.0,0.0822,0.683,65.997,3
3382,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,spotify:track:7lJUnNQC5IX4f2OwH23cBF,0.523,0.944,-3.581,0.0837,0.00336,0.557,0.119,0.324,139.997,5
3383,BURN IT DOWN,Linkin Park,spotify:track:7oVEtyuv9NBmnytsCIsY5I,0.712,0.799,-3.44,0.0329,0.0463,0.0,0.0836,0.7,93.015,3
3384,Airplanes (feat. Hayley Williams of Paramore),B.o.B,spotify:track:6lV2MSQmRIkycDScNtrBXO,0.721,0.92,-3.965,0.312,0.00494,0.0,0.0814,0.786,132.103,6
3385,Don't Wake Me Up,Chris Brown,spotify:track:12Ns5IphkblPmHxpRILG9t,0.651,0.695,-3.218,0.0487,0.23,0.0,0.144,0.569,123.008,3
3386,Some Nights,fun.,spotify:track:6t6oULCRS6hnI7rm0h5gwl,0.759,0.711,-2.29,0.075,0.101,0.0,0.175,0.709,125.041,3
3387,Animal,Neon Trees,spotify:track:1fBl642IhJOE5U319Gy2Go,0.727,0.862,-4.27,0.189,0.291,2.05e-06,0.55,0.66,127.01,4
3388,Down,Jay Sean,spotify:track:7LP4Es66zdY7CyjepqmvAg,0.549,0.932,-4.11,0.343,0.0127,0.0,0.347,0.787,82.439,6
3389,Scary Monsters and Nice Sprites,Skrillex,spotify:track:4rwpZEcnalkuhPyGkEdhu0,0.716,0.972,-2.302,0.196,0.0145,3.22e-05,0.317,0.576,110.026,3
3390,One More Night,Maroon 5,spotify:track:3wJIAMuPdEoBddWlovWXCX,0.7,0.923,-2.85,0.0324,0.000927,0.00826,0.0966,0.904,127.952,3
3391,Gangnam Style,Gangnam Style,spotify:track:4GPxbSBTMA5M1wsZxNcH31,0.574,0.981,-3.573,0.0485,0.0287,0.000468,0.0697,0.95,140.039,3
3392,Give Your Heart a Break,Demi Lovato,spotify:track:3sP3c86WFjOzHHnbhhZcLA,0.752,0.804,-4.112,0.0434,0.539,0.0,0.0868,0.901,136.051,3
3393,Starships - Edited Version,Nicki Minaj,spotify:track:0Bt75clGCx6dJ9saEj2pMW,0.631,0.699,-5.103,0.0954,0.00971,0.000157,0.0522,0.712,86.004,3
3394,Super Bass,Nicki Minaj,spotify:track:5PquLvcmVum4u26JAfODJp,0.693,0.825,-7.308,0.0301,0.162,0.00144,0.251,0.981,125.892,3
3395,Magic (feat. Rivers Cuomo),B.o.B,spotify:track:5uHYcK0nbEYgRaFTY5BqnP,0.531,0.88,-3.875,0.0406,0.0123,3.29e-06,0.176,0.266,127.993,1
3396,Bangarang (feat. Sirah),Skrillex,spotify:track:6VRhkROS2SZHGlp0pxndbJ,0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047,3
3397,Feel So Close - Radio Edit,Calvin Harris,spotify:track:718c1RAetOYLPnTq4KIZgT,0.728,0.858,-3.686,0.0609,0.0403,4.09e-06,0.0241,0.591,125.055,3
3398,Deer In The Headlights,Owl City,spotify:track:2MX7KX78uxMwkeeDyk6CR1,0.669,0.939,-2.06,0.0427,0.0463,1.12e-06,0.335,0.264,127.947,1
3399,Hold Me - Featuring tobyMac,Jamie Grace,spotify:track:18FAicVFBGPrn1eN7rBjjk,0.463,0.881,-3.597,0.113,0.589,0.0,0.215,0.841,88.962,3
3400,We Are Never Ever Getting Back Together,Taylor Swift,spotify:track:53HDOVjPio9hPhpE935MAu,0.608,0.614,-3.727,0.0285,0.227,4.06e-06,0.157,0.402,127.884,1
3401,September,"Earth, Wind & Fire",spotify:track:6IWkdrBY2O0vfQdfEKGUdF,0.593,0.781,-5.292,0.0547,0.000739,0.0,0.224,0.575,103.024,1
3402,Rest Of My Life,Ludacris,spotify:track:6SLUwdeias7fn6qVq6LcgP,0.698,0.844,-4.549,0.067,0.0577,1.69e-05,0.105,0.446,126.937,3
3403,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,1
3404,Pound The Alarm,Nicki Minaj,spotify:track:5kcE7pp02ezLZaUbbMv3Iq,0.691,0.921,-1.702,0.0535,0.174,0.0,0.331,0.802,130.072,3
3405,I Can Only Imagine (feat. Chris Brown & Lil Wayne),David Guetta,spotify:track:3dvynJHFt37j6R8CIIEZh5,0.624,0.889,-3.772,0.0504,0.101,0.0,0.227,0.45,127.019,1
3406,Nice Guys,Chester See,spotify:track:2zSKv1vA08xkdYlSEpYe1L,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,6
3407,Without You (feat. Usher),David Guetta,spotify:track:3YoB9nPUR47VXI3gxh5YMk,0.483,0.494,-8.922,0.0509,0.439,0.535,0.0756,0.226,160.054,2
3408,Your Body,Christina Aguilera,spotify:track:2wlsVxwdh8fd6T6KItRORA,0.391,0.822,-1.911,0.195,0.152,0.0,0.202,0.217,168.148,0
3409,Glad You Came,The Wanted,spotify:track:1OXfWI3FQMdsKKC6lkvzSx,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,3
3410,Titanium (feat. Sia),David Guetta,spotify:track:0lHAMNU8RGiIObScrsRgmP,0.429,0.948,-3.657,0.227,0.00711,0.0148,0.0812,0.55,115.785,6
3411,Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:2QD4C6RRHgRNRAyrfnoeAo,0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,3
3412,Wild Ones (feat. Sia),Flo Rida,spotify:track:5Z7ygHQo02SUrFmcgpwsKW,0.422,0.827,-5.759,0.197,0.000859,0.00231,0.179,0.408,175.071,0
3413,Not Afraid,Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus,0.624,0.28,-10.415,0.029,0.861,1.51e-06,0.116,0.288,105.087,2
3414,Green Valley,Calvin Harris,spotify:track:6G0RXhQJGDnjgUdbQfBZRk,0.557,0.881,-5.082,0.199,0.251,0.0,0.296,0.663,107.037,3
3415,Coming Home,Diddy - Dirty Money,spotify:track:62klngpPesGvxsGUeelvfc,0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862,0.743,103.993,3
3416,Locked out of Heaven,Bruno Mars,spotify:track:5PsMbxhgWpJMsouEfDTX6r,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,0.625,129.965,4
3417,First of the Year (Equinox),Skrillex,spotify:track:5i7fZq3chLyCHo3VeB6goD,0.614,0.648,-5.454,0.0443,0.408,0.0,0.0523,0.585,73.49,1
3418,Die Young,Kesha,spotify:track:4JnQx0xYuoXdkNHe0dt0oR,0.453,0.816,-5.047,0.0332,0.000453,0.00016,0.25,0.28,144.443,0
3419,Scary Monsters and Nice Sprites - Dirtyphonics Remix,Skrillex,spotify:track:0QQwlREWKKxRUPPbpaKZJS,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,1
3420,Hey There Delilah,Plain White T's,spotify:track:1NarGDteHRuDA9OfGyQ2MG,0.627,0.699,-4.504,0.0244,0.174,0.0,0.0789,0.535,94.003,1
3421,"Day Dreaming (feat. Akon, Snoop Dogg & T.I.)",DJ Drama,spotify:track:43EuHm2yvRX18bpUgoA0Cj,0.474,0.818,-7.513,0.0541,0.0243,3.56e-06,0.105,0.353,139.933,0
3422,Nothin' on You (feat. Bruno Mars),B.o.B,spotify:track:5AkZntfhC6IBpNtWyWTWhk,0.461,0.748,-6.122,0.033,0.0444,0.0,0.125,0.115,180.063,0
3423,Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,0.644,0.945,-3.534,0.0717,0.0587,0.0,0.184,0.573,91.017,3
3424,Bow Chicka Wow Wow,Mike Posner,spotify:track:4BHWe17hBiYtvgBT2KTRv3,0.743,0.948,-4.445,0.0893,0.122,0.0,0.112,0.614,130.024,3
3425,Heartbeat,The Fray,spotify:track:6vHf5OeSot7F2VG4N65AZL,0.705,0.794,-2.266,0.0593,0.0488,0.0,0.575,0.412,127.961,4
3426,Hall of Fame (feat. will.i.am),The Script,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,0.516,0.764,-6.223,0.0366,0.0717,0.0,0.115,0.376,148.021,0
3427,Breakeven,The Script,spotify:track:38xWaVFKaxZlMFvzNff2aW,0.547,0.794,-4.713,0.0276,0.0372,0.0,0.114,0.568,96.034,1
3428,Feel Again,OneRepublic,spotify:track:6nmVeODcBpsGKx5RPv003D,0.625,0.726,-7.731,0.155,0.00728,0.0,0.318,0.483,103.98,1
3429,Just A Dream,Nelly,spotify:track:3PfeAZbfD134dO6OiLDA2Y,0.622,0.872,-4.734,0.0935,0.0101,0.0,0.344,0.633,127.952,3
3430,Written in the Stars (feat. Eric Turner),Tinie Tempah,spotify:track:61HQWI1Woxup7CnGwVUsdI,0.68,0.716,-4.744,0.2,0.0662,0.0,0.122,0.833,147.978,3
3431,Beautiful,Akon,spotify:track:7rv0UuxMX7CpUUwEE1jVrd,0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036,3
3432,Turn Me On (feat. Nicki Minaj),David Guetta,spotify:track:6JOlNkT0QdHeZB0wPbI9IR,0.607,0.854,-4.867,0.166,0.0683,0.0,0.2,0.507,149.872,0
3433,Secrets,OneRepublic,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,0.864,0.495,-7.036,0.037,0.591,0.000133,0.0992,0.72,129.062,2
3434,If You Ever Come Back,The Script,spotify:track:6cLxNwJmqxLbmbGPP8ulQr,0.655,0.865,-4.455,0.144,0.00351,0.0,0.339,0.832,84.953,3
3435,Stronger,Kanye West,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,0.473,0.833,-5.013,0.039,0.00369,0.0,0.118,0.503,157.012,0
3436,Finally Found You,Enrique Iglesias,spotify:track:35nI1AQT4er6Z2BQlyNd6j,0.645,0.689,-6.102,0.0485,0.248,0.0,0.131,0.567,91.989,3
3437,Strange Clouds - feat. Lil Wayne,B.o.B,spotify:track:4cgZ2dCVqZyMWo0zubW6Vb,0.573,0.929,-3.942,0.109,0.197,0.000112,0.0567,0.582,127.934,3
3438,Whatcha Say,Jason Derulo,spotify:track:2zJZwWF7BTGIIvrAlgzJEx,0.543,0.73,-6.086,0.0384,0.00631,0.0,0.213,0.267,150.187,0
3439,Heart Attack,Trey Songz,spotify:track:1J36RjF8Mx8Yp2QWvFSPmv,0.495,0.958,-4.286,0.0616,0.000736,4.47e-06,0.0579,0.861,184.107,0
3440,Somebody That I Used To Know,Gotye,spotify:track:4wCmqSrbyCgxEXROQE6vtV,0.652,0.927,-4.532,0.0451,0.0169,1.66e-06,0.135,0.673,131.988,3
3441,C’mon Let Me Ride,Skylar Grey,spotify:track:6Zjri9UxIPnXW0el5McbyI,0.588,0.931,-3.514,0.0385,0.231,0.0,0.159,0.446,120.96,1
3442,Nothing,The Script,spotify:track:0c3yfC8zMRJGvmqphczhZb,0.519,0.988,-4.318,0.0867,0.0068,0.0,0.0655,0.574,161.031,0
3443,Far Away,Tyga,spotify:track:5zeELh7hoKFHuQDIaBzCbv,0.544,0.973,-5.187,0.0521,0.0019,6.28e-05,0.144,0.448,114.982,1
3444,Sweet Nothing (feat. Florence Welch),Calvin Harris,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,0.473,0.991,-3.785,0.109,0.013,0.0,0.14,0.689,177.999,0
3445,Don't Let Me Fall,B.o.B,spotify:track:3myI1o0izYfh2z9JTQzCfJ,0.533,0.981,-3.685,0.104,0.0451,0.0,0.0985,0.302,94.987,1
3446,Knightmare/Frame,Area 11,spotify:track:3YIYKUPQEs5r6DmDB6gkgw,0.429,0.557,-8.424,0.0353,0.228,0.0114,0.0866,0.147,125.01,1
3447,Tokyo House Party,Area 11,spotify:track:6p8GKeZPgHwTLr1IObpyzU,0.784,0.621,-7.399,0.0561,0.0442,0.00019,0.132,0.504,130.018,3
3448,Shi No Barado (feat. Beckii Cruel),Area 11,spotify:track:50AN1KTNvK17fBMY4AX3jb,0.662,0.67,-5.504,0.027,0.0022,0.0,0.203,0.352,119.977,1
3449,Cassandra (Pt II),Area 11,spotify:track:3ODBw0ljBRz0XPEgfSweVs,0.674,0.74,-4.517,0.0419,0.000637,0.0,0.111,0.431,143.998,3
3450,The Strays,Area 11,spotify:track:0167vnxjkbw6iLSHJYU5a0,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,3
3451,Dream & Reality,Area 11,spotify:track:2C0rKaUDiqWiLkyuGwZGsE,0.753,0.796,-6.406,0.0576,0.0378,0.0,0.331,0.605,122.025,3
3452,Heaven-Piercing Giga Drill,Area 11,spotify:track:2pXDScNtImSgumK0gTJcaj,0.775,0.68,-5.508,0.0629,0.00906,0.0,0.109,0.656,114.025,3
3453,Bōsōzoku Symphonic,Area 11,spotify:track:2BurnsChUeXYkJnmrpEcPN,0.713,0.79,-4.602,0.0574,0.00339,0.000868,0.485,0.308,98.011,4
3454,Scream & Shout,will.i.am,spotify:track:054ue8u2erwwGNgSIZLEPq,0.582,0.272,-5.662,0.0501,0.875,0.0,0.13,0.354,205.846,2
3455,Daylight,Maroon 5,spotify:track:2l8D5dB5pXywjeIeWw16E7,0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,2
3456,Lucky Strike,Maroon 5,spotify:track:6tVrmsbI5HVDgOlFSTrQjB,0.393,0.547,-7.776,0.0291,0.263,0.0,0.104,0.307,129.677,1
3457,Shut Up and Dance,WALK THE MOON,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852,4
3458,"Honey, I'm Good.",Andy Grammer,spotify:track:4orphgwPHHRsdEkfUmANSD,0.534,0.878,-5.134,0.0934,0.00503,0.0,0.367,0.676,127.913,3
3459,Want to Want Me,Jason Derulo,spotify:track:0HFx7PLqzGxSfN59j3UHmR,0.354,0.865,-4.359,0.0541,1.19e-05,0.917,0.301,0.516,98.553,5
3460,Lean On,Major Lazer,spotify:track:4KcVVhAaHxqtX2ANt4b3tc,0.506,0.639,-5.222,0.0285,0.171,0.0,0.315,0.385,144.073,0
