,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
17496,Mac Miller,Imaginary Folklore,0.438,0.131,1.0,-13.757,1.0,0.108,0.93,0.97,0.0879,0.0475,80.03,186358.0,4.0
17497,Ice Cube,Blue,0.743,0.67,6.0,-9.34,0.0,0.0598,0.247,0.0125,0.0498,0.662,108.112,127406.0,4.0
17498,Led Zeppelin,Cicada 3301,0.164,0.235,8.0,-27.094,1.0,0.0452,0.923,0.892,0.235,0.303,108.049,140000.0,4.0
17499,The Scary Jokes,Saint European King Days,0.118,0.0224,1.0,-30.543,1.0,0.0369,0.988,0.927,0.091,0.0378,78.558,102101.0,4.0
17500,Barns Courtney,Banana Boat (Day-O),0.701,0.485,11.0,-10.305,0.0,0.364,0.367,6.31e-05,0.0852,0.496,78.863,530253.0,4.0
17501,Rex Orange County,Bennie And The Jets - Remastered 2014,0.565,0.397,0.0,-9.326,1.0,0.0344,0.547,0.152,0.102,0.0583,139.936,302000.0,4.0
17502,Hexsystem,Saw You In A Dream,0.416,0.827,4.0,-5.177,1.0,0.0384,0.00428,0.000242,0.277,0.87,169.902,236712.0,4.0
17503,Peach Pit,Kyoto,0.457,0.649,2.0,-7.424,0.0,0.0538,0.165,0.00131,0.177,0.864,122.792,113240.0,4.0
17504,Her's,Motion Sickness,0.521,0.803,9.0,-6.264,1.0,0.0387,0.0528,0.000494,0.254,0.698,127.894,293987.0,4.0
17505,Orions Belte,Punisher,0.172,0.973,4.0,-1.601,1.0,0.319,3.59e-05,0.816,0.121,0.0382,140.014,1344024.0,4.0
17506,clammbon,Rocky,0.435,0.747,0.0,-4.477,1.0,0.0296,0.00148,0.00396,0.122,0.727,115.151,312227.0,4.0
17507,Chaos Chaos,Goodie Bag,0.603,0.783,6.0,-4.023,1.0,0.062,0.449,7.96e-06,0.119,0.775,172.041,173104.0,4.0
17508,Sylversky,Cooks,0.829,0.408,9.0,-10.172,1.0,0.0389,0.769,0.544,0.104,0.753,124.983,199900.0,4.0
17509,Opium Flirt,Lava,0.701,0.565,2.0,-11.087,1.0,0.0312,0.108,0.000125,0.0952,0.602,110.045,294545.0,4.0
17510,Harry Belafonte,Show Me How,0.329,0.265,3.0,-13.619,1.0,0.0429,0.748,0.0319,0.101,0.304,168.693,236246.0,5.0
17511,Elton John,Acid Rain on Broken Rooftops,0.478,0.387,6.0,-13.568,1.0,0.304,0.324,0.0,0.108,0.382,138.657,174857.0,4.0
17512,The Japanese House,Plume,0.441,0.0985,7.0,-29.87,0.0,0.0511,0.892,0.907,0.104,0.111,102.743,149538.0,4.0
17513,Phoebe Bridgers,Whalebones,0.786,0.23,8.0,-15.069,1.0,0.0303,0.0261,0.908,0.106,0.31,109.965,226909.0,4.0
17514,Phoebe Bridgers,1-800-Sins,0.466,0.311,4.0,-10.636,0.0,0.0271,0.042,6.17e-05,0.134,0.043,132.004,207440.0,4.0
17515,Phoebe Bridgers,Mommy,0.698,0.853,1.0,-9.667,1.0,0.0353,0.0551,0.00196,0.0388,0.879,107.347,205507.0,4.0
17516,Still Woozy,Corridors of Time,0.683,0.772,7.0,-7.907,0.0,0.0311,0.0222,0.0149,0.203,0.737,123.871,270373.0,4.0
17517,Still Woozy,Moonsetter,0.668,0.906,11.0,-4.881,0.0,0.17,0.214,0.00245,0.135,0.507,135.653,231933.0,4.0
17518,Still Woozy,Big Note Blues,0.574,0.913,6.0,-4.793,0.0,0.133,0.061,0.00158,0.156,0.423,115.728,208400.0,4.0
17519,Still Woozy,Peace on the Rise,0.502,0.89,4.0,-5.175,1.0,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880.0,4.0
17520,Men I Trust,Summer Love,0.389,0.873,4.0,-4.768,0.0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293.0,4.0
17521,Ørdop Wolkenscheidt,Desert Stroll,0.693,0.394,0.0,-15.882,1.0,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747.0,4.0
17522,Shimmertraps,Garbage Day,0.544,0.897,3.0,-6.056,0.0,0.0471,0.241,0.0,0.13,0.647,157.17,215133.0,4.0
17523,Man Man,666 Kill Chop Deluxe,0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647,259800.0,4.0
17524,R.I.P.,Work Harder,0.517,0.481,5.0,-8.273,1.0,0.0272,0.0293,1.79e-05,0.0903,0.461,138.51,246973.0,4.0
17525,R.I.P.,A World at Peace,0.708,0.499,5.0,-9.644,1.0,0.0297,0.269,0.57,0.101,0.628,111.652,328293.0,4.0
17526,Yasunori Mitsuda,Just a waste,0.235,0.602,6.0,-12.216,0.0,0.0399,0.911,0.966,0.0999,0.239,80.747,72467.0,4.0
17527,SudoName,End,0.333,0.05,3.0,-21.849,0.0,0.0711,0.993,0.904,0.112,0.113,138.145,114867.0,4.0
17528,Bert Weedon,Beginning,0.575,0.186,7.0,-18.468,0.0,0.039,0.995,0.832,0.111,0.307,150.261,104973.0,4.0
17529,Chad VanGaalen,4 Your Eyez Only,0.204,0.16,0.0,-16.777,0.0,0.0462,0.97,0.919,0.109,0.037,69.704,83893.0,5.0
17530,Widdly 2 Diddly,Projectdon'tdie,0.174,0.194,10.0,-16.74,0.0,0.0312,0.935,0.734,0.111,0.0803,136.775,97427.0,4.0
17531,Widdly 2 Diddly,Australia,0.191,0.5,5.0,-16.506,0.0,0.0397,0.871,0.981,0.108,0.145,56.436,103640.0,5.0
17532,Widdly 2 Diddly,Brobocop,0.531,0.487,6.0,-11.838,0.0,0.0274,0.778,0.974,0.103,0.218,79.118,139533.0,4.0
17533,Marina Hova,Cat Fantastic,0.519,0.737,0.0,-6.102,1.0,0.0319,0.168,0.919,0.128,0.163,86.986,279973.0,4.0
17534,Widdly 2 Diddly,Tortvred Lesbians Ripped Apart,0.466,0.392,6.0,-10.553,1.0,0.0396,0.556,0.224,0.0913,0.288,175.417,102507.0,4.0
17535,Ibrahim,Avant Gardener,0.33,0.311,2.0,-16.985,1.0,0.0391,0.937,0.895,0.0979,0.121,121.68,107160.0,5.0
17536,PinkPantheress,Dark Red,0.513,0.352,0.0,-12.658,0.0,0.0283,0.975,0.928,0.365,0.366,148.064,170307.0,4.0
17537,Clown Core,Easy Baby,0.741,0.109,11.0,-25.261,1.0,0.0358,0.665,0.873,0.11,0.25,140.019,246857.0,4.0
17538,C418,Melatonin,0.417,0.501,10.0,-5.243,0.0,0.0301,0.711,0.946,0.218,0.272,75.018,296200.0,4.0
17539,J. Cole,I Am the Antichrist to You,0.649,0.579,5.0,-9.887,0.0,0.038,0.00688,0.853,0.19,0.533,110.027,254000.0,4.0
17540,Osquello,"Sincerely, Yours",0.195,0.298,8.0,-15.641,1.0,0.0323,0.934,0.759,0.601,0.377,147.895,124749.0,4.0
17541,The Shins,M_o_i_s_t,0.192,0.263,9.0,-17.282,0.0,0.0576,0.96,0.952,0.562,0.0371,68.582,88619.0,3.0
17542,Girlfriends,Piwates,0.315,0.129,5.0,-18.827,0.0,0.0373,0.981,0.941,0.193,0.297,85.367,73120.0,4.0
17543,TTNG,Ropes,0.432,0.0995,9.0,-22.862,0.0,0.03,0.965,0.978,0.0866,0.176,96.419,333880.0,3.0
17544,Sewerslvt,Going Back to My Roots - Single Version,0.249,0.161,10.0,-24.688,1.0,0.035,0.96,0.846,0.112,0.0835,67.899,153903.0,4.0
17545,Courtney Barnett,"What Is Love - 7"" Mix",0.136,0.0439,9.0,-26.562,0.0,0.0512,0.991,0.853,0.0638,0.0331,71.968,199000.0,5.0
